Round_Number,Absolute_Fitness
1,5.083333333333333
6,11.666666666666668
11,11.666666666666668
16,16.916666666666668
21,24.25
26,22.083333333333336
31,24.666666666666668
36,22.583333333333332
41,19.75
46,20.166666666666664
51,21.166666666666668
56,19.833333333333336
61,21.833333333333336
66,26.083333333333336
71,22.916666666666664
76,19.916666666666664
81,23.666666666666664
86,24.916666666666664
91,23.75
96,27.333333333333332
101,20.25
106,22.75
111,24.25
116,27.666666666666664
121,28.833333333333336
126,27.583333333333332
131,24.5
136,25.083333333333336
141,28.75
146,24.833333333333336
151,32.75
