GAMESPERROUND,GHOSTGAMESPERROUND,randomizationAmount,randomizationStrengthWeights,randomizationStrengthBiases,SNAPSHOT_PROBABILITY,GHOSTAGENTS_POP,ROUND_COUNT,WINFITNESS,DRAWFITNESS,LOSEFITNESS,WINFITNESSGHOST,DRAWFITNESSGHOST,LOSEFITNESSGHOST,FITNESS_SCORE
2,1,0.1,0.01,0.01,1000,100,1000,4,0.5,0.2,4,0.5,0.2,-16.539999999999996
2,1,0.03,0.02,0.02,2000,100,1000,4,0.5,0.2,4,0.5,0.2,19.821666666666655
2,1,0.02,0.05,0.05,1000,100,1000,4,0.5,0.2,4,0.5,0.2,-6.321666666666662
2,1,0.02,0.05,0.05,1000,100,1000,4.0,0.5,-0.5,4.0,0.5,-0.5,21.116666666666667
2,1,0.05,0.05,0.05,1000,100,1000,4,0.5,0.2,4,0.5,0.2,13.068333333333335
2,1,0.02,0.02,0.02,500,100,1000,4,0.5,0.2,4,0.5,0.2,9.409999999999997
2,1,0.1,0.1,0.1,1000,100,1000,4,0.5,0.2,4,0.5,0.2,25.76333333333333
2,1,0.01,0.2,0.2,1000,100,1000,4,0.5,0.2,4,0.5,0.2,8.530000000000001
2,1,0.02,0.02,0.02,3000,100,1000,4,0.5,0.2,4,0.5,0.2,20.941666666666663
2,1,0.02,0.02,0.02,1000,100,1000,4,0.5,0.2,4,0.5,0.2,17.278333333333325
2,1,0.02,0.05,0.05,1000,100,1000,8.0,1.0,-1.0,4.0,0.5,-0.5,10.071666666666662
2,1,0.03,0.02,0.02,2000,100,1000,4,0.5,0.2,4,0.5,0.2,-1.0899999999999999
2,1,0.1,0.1,0.1,1000,100,1000,4,0.5,0.2,4,0.5,0.2,1.3533333333333317
2,1,0.02,0.02,0.02,3000,100,1000,4,0.5,0.2,4,0.5,0.2,34.703333333333326
2,1,0.02,0.02,0.02,500,100,1000,4,0.5,0.2,4,0.5,0.2,24.68666666666667
2,1,0.02,0.02,0.02,1000,100,1000,4,0.5,0.2,4,0.5,0.2,-11.908333333333335
2,1,0.05,0.05,0.05,1000,100,1000,4,0.5,0.2,4,0.5,0.2,22.148333333333344
2,1,0.02,0.05,0.05,1000,100,1000,8.0,1.0,-1.0,4.0,0.5,-0.5,8.116666666666664
2,1,0.02,0.05,0.05,1000,100,1000,4.0,0.5,-0.5,4.0,0.5,-0.5,21.403333333333336
20,7,0.02,0.01,0.01,2000,100,1000,4,0.5,0.2,4,0.5,0.2,22.93833333333333
2,1,0.1,0.01,0.01,1000,100,1000,4,0.5,0.2,4,0.5,0.2,0.1666666666666643
2,1,0.01,0.2,0.2,1000,100,1000,4,0.5,0.2,4,0.5,0.2,17.41166666666667
2,1,0.02,0.05,0.05,1000,100,1000,4,0.5,0.2,4,0.5,0.2,26.086666666666662
20,7,0.05,0.05,0.05,2000,100,1000,4,0.5,0.2,4,0.5,0.2,32.36000000000001
20,7,0.04,0.01,0.01,2000,100,1000,4,0.5,0.2,4,0.5,0.2,29.654999999999994
20,7,0.03,0.02,0.02,2000,100,1000,4,0.5,0.2,4,0.5,0.2,-25.02
20,7,0.03,0.01,0.01,2000,100,1000,4,0.5,0.2,4,0.5,0.2,39.57999999999999
20,7,0.05,0.05,0.05,1000,100,1000,4,0.5,0.2,4,0.5,0.2,12.159999999999997
20,7,0.04,0.01,0.01,2000,100,1000,4,0.5,0.2,4,0.5,0.2,18.096666666666664
20,7,0.05,0.05,0.05,1000,100,1000,4.0,0.5,-0.5,4.0,0.5,-0.5,18.218333333333327
20,7,0.03,0.01,0.01,2000,100,1000,4,0.5,0.2,4,0.5,0.2,13.13000000000001
20,7,0.05,0.05,0.05,1000,100,1000,4.0,0.5,-0.5,4.0,0.5,-0.5,-11.680000000000003
20,7,0.02,0.01,0.01,2000,100,1000,4,0.5,0.2,4,0.5,0.2,10.346666666666664
20,7,0.05,0.05,0.05,2000,100,1000,4,0.5,0.2,4,0.5,0.2,14.376666666666665
20,7,0.05,0.05,0.05,1000,100,1000,4,0.5,0.2,4,0.5,0.2,14.959999999999994
20,7,0.03,0.02,0.02,2000,100,1000,4,0.5,0.2,4,0.5,0.2,7.26166666666666
50,15,0.03,0.03,0.03,3000,100,1000,4,0.5,0.2,4,0.5,0.2,28.706666666666667
50,15,0.03,0.03,0.03,1000,100,1000,4,0.5,0.2,4,0.5,0.2,18.675000000000008
50,15,0.03,0.03,0.03,3000,100,1000,4,0.5,0.2,4,0.5,0.2,12.52833333333334
