GAMESPERROUND,GHOSTGAMESPERROUND,randomizationAmount,randomizationStrengthWeights,randomizationStrengthBiases,SNAPSHOT_PROBABILITY,GHOSTAGENTS_POP,ROUND_COUNT,WINFITNESS,DRAWFITNESS,LOSEFITNESS,WINFITNESSGHOST,DRAWFITNESSGHOST,LOSEFITNESSGHOST,FITNESS_SCORE
10,4,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-14.285
20,7,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-18.414166666666667
20,7,0.02,0.03,0.03,8000,100,2000,4,0.6,-0.5,4,0.2,-0.5,10.648333333333333
20,7,0.02,0.03,0.03,6000,100,2000,4,0.6,-0.5,4,0.2,-0.5,-50.22166666666667
20,7,0.02,0.03,0.03,3700,100,2000,4,0.6,-0.5,4,0.2,-0.5,-69.10416666666666
20,7,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-88.18416666666667
20,7,0.02,0.03,0.03,5500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-29.81916666666667
15,5,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-20.380833333333328
20,7,0.02,0.03,0.03,3300,100,2000,4,0.6,-0.5,4,0.2,-0.5,-62.38333333333334
20,10,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-44.567499999999995
30,10,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-59.715833333333336
20,7,0.02,0.03,0.03,2900,100,2000,4,0.6,-0.5,4,0.2,-0.5,-39.906666666666666
20,7,0.02,0.03,0.03,3500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-1.5366666666666653
20,7,0.02,0.03,0.03,4300,100,2000,4,0.6,-0.5,4,0.2,-0.5,-26.933333333333337
30,12,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-14.009166666666673
25,10,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-52.420833333333334
30,15,0.02,0.03,0.03,2500,100,2000,4,0.6,-0.5,4,0.2,-0.5,-33.135000000000005
