GAMESPERROUND,GHOSTGAMESPERROUND,randomizationAmount,randomizationStrengthWeights,randomizationStrengthBiases,SNAPSHOT_PROBABILITY,GHOSTAGENTS_POP,ROUND_COUNT,WINFITNESS,DRAWFITNESS,LOSEFITNESS,WINFITNESSGHOST,DRAWFITNESSGHOST,LOSEFITNESSGHOST,FITNESS_SCORE
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,0.0,4.0,0.5,0.0,-3.43333333333333
20,7,0.02,0.03,0.03,2500,100,1000,3.0,1.0,0.0,5.0,0.0,-0.7,29.721666666666664
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.5,3.0,-0.2,-1.0,-23.100000000000005
20,7,0.02,0.03,0.03,2500,100,1000,2.0,0.0,-0.1,3.0,-0.2,-0.7,0.9799999999999933
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.5,3.0,-0.2,-1.5,-41.894999999999996
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.2,4.0,0.2,-0.5,9.511666666666667
20,7,0.02,0.03,0.03,2500,100,1000,2.5,0.0,-0.4,3.0,-0.2,-1.2,35.29166666666667
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.5,3.0,-0.2,-0.5,-17.166666666666668
20,7,0.02,0.03,0.03,2500,100,1000,2.5,0.0,-0.3,3.0,-0.2,-0.7,-25.679999999999996
20,7,0.02,0.03,0.03,2500,100,1000,5.0,1.5,0.0,7.0,0.0,-0.7,6.483333333333334
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.2,-0.5,3.0,-0.2,-1.0,34.030000000000015
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.0,-0.3,3.0,-0.2,-0.7,50.04166666666666
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.1,-0.5,3.0,-0.2,-1.0,10.708333333333332
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.3,-0.5,3.0,-0.2,-0.8,13.138333333333332
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.5,4.0,0.5,-0.5,17.9
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.0,-0.5,3.0,-0.2,-0.8,16.011666666666663
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-1.0,4.0,0.5,-1.0,16.718333333333334
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.3,-0.5,3.0,-0.2,-1.0,12.055000000000007
20,7,0.02,0.03,0.03,2500,100,1000,2.0,0.5,0.0,4.0,0.0,-0.7,0.45999999999999375
20,7,0.02,0.03,0.03,2500,100,1000,3.0,1.0,0.0,6.0,0.0,-0.7,28.898333333333337
