GAMESPERROUND,GHOSTGAMESPERROUND,randomizationAmount,randomizationStrengthWeights,randomizationStrengthBiases,SNAPSHOT_PROBABILITY,GHOSTAGENTS_POP,ROUND_COUNT,WINFITNESS,DRAWFITNESS,LOSEFITNESS,WINFITNESSGHOST,DRAWFITNESSGHOST,LOSEFITNESSGHOST,FITNESS_SCORE
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.3,-0.5,3.0,-0.2,-1.0,-11.334999999999994
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.5,3.0,-0.2,-1.5,-11.201666666666664
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.0,-0.3,3.0,-0.2,-0.7,-10.286666666666669
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.5,3.0,-0.2,-1.0,-5.938333333333336
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.2,-0.5,3.0,-0.2,-1.0,-97.84
20,7,0.02,0.03,0.03,2500,100,1000,2.0,0.5,0.0,4.0,0.0,-0.7,-26.08833333333334
20,7,0.02,0.03,0.03,2500,100,1000,5.0,1.5,0.0,7.0,0.0,-0.7,-31.835
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.2,4.0,0.2,-0.5,-24.84666666666667
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.5,3.0,-0.2,-0.5,-71.485
20,7,0.02,0.03,0.03,2500,100,1000,2.5,0.0,-0.3,3.0,-0.2,-0.7,-28.759999999999998
20,7,0.02,0.03,0.03,2500,100,1000,3.0,1.0,0.0,6.0,0.0,-0.7,-7.109999999999999
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.0,-0.5,3.0,-0.2,-0.8,-34.70666666666667
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.3,-0.5,3.0,-0.2,-0.8,-32.10333333333333
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-0.5,4.0,0.5,-0.5,-4.883333333333333
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,-1.0,4.0,0.5,-1.0,-23.88833333333334
20,7,0.02,0.03,0.03,2500,100,1000,2.0,0.0,-0.1,3.0,-0.2,-0.7,-37.06166666666667
20,7,0.02,0.03,0.03,2500,100,1000,2.5,0.0,-0.4,3.0,-0.2,-1.2,-26.875
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.1,-0.5,3.0,-0.2,-1.0,-43.733333333333334
20,7,0.02,0.03,0.03,2500,100,1000,4.0,0.5,0.0,4.0,0.5,0.0,-30.486666666666668
20,7,0.02,0.03,0.03,2500,100,1000,3.0,1.0,0.0,5.0,0.0,-0.7,-41.13666666666666
